"order_insert","anime_id","name","genre","type","episodes","rating","members"
"52",3297,"Aria The Origination","Fantasy, Sci-Fi, Shounen, Slice of Life","TV","13",8.64,56162
"53",30709,"Kamisama Hajimemashita: Kako-hen","Comedy, Demons, Fantasy, Shoujo, Supernatural","OVA","4",8.64,33422
"54",6114,"Rainbow: Nisha Rokubou no Shichinin","Drama, Historical, Seinen, Thriller","TV","26",8.64,139474
"55",31240,"Re:Zero kara Hajimeru Isekai Seikatsu","Drama, Fantasy, Psychological, Thriller","TV","25",8.64,355839
"56",4565,"Tengen Toppa Gurren Lagann Movie: Lagann-hen","Action, Mecha, Sci-Fi, Space, Super Power","Movie","1",8.64,82253
"57",5300,"Zoku Natsume Yuujinchou","Drama, Fantasy, Shoujo, Slice of Life, Supernatural","TV","13",8.64,114173
"58",9989,"Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.","Drama, Slice of Life, Supernatural","TV","11",8.62,463835
"59",24415,"Kuroko no Basket 3rd Season","Comedy, School, Shounen, Sports","TV","25",8.62,184525
"60",11577,"Steins;Gate Movie: Fuka Ryouiki no Déjà vu","Sci-Fi, Thriller","Movie","1",8.61,192424
"61",10408,"Hotarubi no Mori e","Drama, Romance, Shoujo, Supernatural","Movie","1",8.61,197439
"62",28171,"Shokugeki no Souma","Ecchi, School, Shounen","TV","24",8.61,348951
"63",32995,"Yuri!!! on Ice","Comedy, Sports","TV","12",8.61,103178
"64",21899,"Gintama: Yorinuki Gintama-san on Theater 2D","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","Movie","2",8.6,11104
"65",26055,"JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season","Action, Adventure, Drama, Shounen, Supernatural","TV","24",8.6,93657
"66",7472,"Gintama Movie: Shinyaku Benizakura-hen","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","Movie","1",8.59,51185
"67",777,"Hellsing Ultimate","Action, Horror, Military, Seinen, Supernatural, Vampire","OVA","10",8.59,297454
"68",22535,"Kiseijuu: Sei no Kakuritsu","Action, Drama, Horror, Psychological, Sci-Fi, Seinen","TV","24",8.59,425457
"69",28735,"Shouwa Genroku Rakugo Shinjuu","Drama, Historical, Josei","TV","13",8.59,71295
"70",12431,"Uchuu Kyoudai","Comedy, Sci-Fi, Seinen, Slice of Life, Space","TV","99",8.59,72958
"71",28805,"Bakemono no Ko","Adventure, Supernatural","Movie","1",8.58,80825
"72",578,"Hotaru no Haka","Drama, Historical","Movie","1",8.58,174878
"73",16894,"Kuroko no Basket 2nd Season","Comedy, School, Shounen, Sports","TV","25",8.58,243325
"74",5028,"Major S5","Comedy, Drama, Romance, Sports","TV","25",8.58,28653
"75",21,"One Piece","Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power","TV","Unknown",8.58,504862
"76",801,"Ghost in the Shell: Stand Alone Complex 2nd GIG","Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen","TV","26",8.57,113993
"77",31933,"JoJo no Kimyou na Bouken: Diamond wa Kudakenai","Action, Adventure, Comedy, Drama, Shounen, Supernatural","TV","39",8.57,74074
"78",5205,"Kara no Kyoukai 7: Satsujin Kousatsu (Kou)","Action, Mystery, Romance, Supernatural, Thriller","Movie","1",8.57,95658
"79",17389,"Kingdom 2nd Season","Action, Historical, Military, Seinen","TV","39",8.57,31234
"80",170,"Slam Dunk","Comedy, Drama, School, Shounen, Sports","TV","101",8.56,82570
"81",10162,"Usagi Drop","Josei, Slice of Life","TV","11",8.56,194855
"82",18617,"Girls und Panzer der Film","Military, School","Movie","1",8.55,25641
"83",32182,"Mob Psycho 100","Action, Comedy, Slice of Life, Supernatural","TV","12",8.55,193716
"84",877,"Nana","Comedy, Drama, Music, Romance, Shoujo, Slice of Life","TV","47",8.55,197256
"85",2251,"Baccano!","Action, Comedy, Historical, Mystery, Seinen, Supernatural","TV","13",8.54,363215
"86",24687,"Mushishi Zoku Shou: Odoro no Michi","Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural","Special","1",8.54,34011
"87",16498,"Shingeki no Kyojin","Action, Drama, Fantasy, Shounen, Super Power","TV","25",8.54,896229
"88",10030,"Bakuman. 2nd Season","Comedy, Drama, Romance, Shounen","TV","25",8.53,151561
"89",5941,"Cross Game","Comedy, Drama, Romance, School, Sports","TV","50",8.53,53108
